Run,geographic_location_(country_and/or_sea region)
ERR479240,France
ERR480734,France
ERR480735,France
ERR480736,France
ERR475584,France
ERR479280,France
ERR479281,France
ERR479282,France
ERR479283,France
ERR480776,France
ERR480777,France
ERR480778,France
ERR480779,France
ERR475585,France
ERR479124,France
ERR479125,France
ERR479126,France
ERR479127,France
ERR480620,France
ERR480621,France
ERR480622,France
ERR480623,France
ERR479071,France
ERR479072,France
ERR479073,France
ERR479074,France
ERR480567,France
ERR480568,France
ERR480569,France
ERR480570,France
ERR475586,France
ERR479146,France
ERR479147,France
ERR480642,France
ERR480643,France
ERR475587,France
ERR479249,France
ERR479250,France
ERR480745,France
ERR480746,France
ERR479024,France
ERR479025,France
ERR479026,France
ERR479027,France
ERR479028,France
ERR480520,France
ERR480521,France
ERR480522,France
ERR480523,France
ERR480524,France
ERR475588,France
ERR479290,France
ERR479291,France
ERR479292,France
ERR479293,France
ERR480786,France
ERR480787,France
ERR480788,France
ERR480789,France
ERR475589,France
ERR479173,France
ERR479174,France
ERR480669,France
ERR480670,France
ERR475590,France
ERR479075,France
ERR479076,France
ERR480571,France
ERR480572,France
ERR475591,France
ERR479219,France
ERR479220,France
ERR479221,France
ERR479222,France
ERR480715,France
ERR480716,France
ERR480717,France
ERR480718,France
ERR475592,France
ERR478968,France
ERR478969,France
ERR480464,France
ERR480465,France
ERR475593,France
ERR479190,France
ERR479191,France
ERR479192,France
ERR480686,France
ERR480687,France
ERR480688,France
ERR475594,France
ERR479175,France
ERR479176,France
ERR480671,France
ERR480672,France
ERR475595,France
ERR479231,France
ERR479232,France
ERR479233,France
ERR479234,France
ERR480727,France
ERR480728,France
ERR480729,France
ERR480730,France
ERR479039,France
ERR479040,France
ERR480535,France
ERR480536,France
ERR479022,France
ERR479023,France
ERR480518,France
ERR480519,France
